Project;#Frps;#LRMatches;#LRFrps;%LRFrps;RLMatches;#RLFrps;%RLFrps;TotalMatches;#TotalFrps;%TotalFrps
AjaxControlToolkit;466;578;42;9.01287553648069;538;43;9.2274678111588;1116;44;9.44206008583691
AkkaNET;763;2758;78;10.2228047182176;3118;78;10.2228047182176;5876;82;10.7470511140236
AllReady;891;13404;149;16.7227833894501;13529;146;16.3860830527497;26933;165;18.5185185185185
ApplicationInsightsDotnetServer;425;2589;75;17.6470588235294;2530;73;17.1764705882353;5119;76;17.8823529411765
AspnetWebStack;558;2428;103;18.4587813620072;2772;102;18.2795698924731;5200;107;19.1756272401434
AutoFixture;1453;1835;121;8.32759807295251;1542;125;8.60289057123193;3377;136;9.35994494150034
AutoMapper;856;3505;152;17.7570093457944;3543;158;18.4579439252336;7048;166;19.392523364486
Avalonia;1182;1495;113;9.56006768189509;1480;119;10.0676818950931;2975;128;10.82910321489
AzurePowershell;2468;7565;203;8.22528363047002;7724;211;8.54943273905997;15289;226;9.15721231766613
AzureSdkForNet;1509;23022;128;8.48243870112657;23517;123;8.15109343936382;46539;137;9.07886017229954
AzureWebJobsSdk;399;619;47;11.7794486215539;1013;55;13.7844611528822;1632;59;14.7869674185464
BenchmarkDotNet;241;594;19;7.88381742738589;299;19;7.88381742738589;893;19;7.88381742738589
BotBuilder;336;2179;56;16.6666666666667;2141;58;17.2619047619048;4320;58;17.2619047619048
BridgeNET;886;2485;64;7.2234762979684;2694;62;6.99774266365688;5179;67;7.56207674943567
Buildtools;283;1671;64;22.6148409893993;1659;67;23.6749116607774;3330;67;23.6749116607774
BusinessPlatformApps;306;723;43;14.0522875816993;626;49;16.0130718954248;1349;49;16.0130718954248
Cake;216;312;9;4.16666666666667;328;10;4.62962962962963;640;10;4.62962962962963
Cecil;446;625;50;11.2107623318386;877;61;13.6771300448431;1502;64;14.3497757847534
CefSharp;1246;1295;116;9.30979133226324;1437;118;9.47030497592295;2732;121;9.71107544141252
Choco;649;1104;49;7.55007704160247;1458;58;8.93682588597843;2562;61;9.39907550077042
Cli;1040;2694;105;10.0961538461538;2506;106;10.1923076923077;5200;111;10.6730769230769
CodeCracker;380;1279;47;12.3684210526316;1121;43;11.3157894736842;2400;49;12.8947368421053
CoreClr;667;10946;119;17.8410794602699;8856;116;17.3913043478261;19802;124;18.5907046476762
CoreFx;3522;19932;584;16.5814877910278;19736;584;16.5814877910278;39668;627;17.8023850085179
Corert;672;2717;87;12.9464285714286;2644;86;12.797619047619;5361;92;13.6904761904762
CouchbaseLiteNet;663;2743;121;18.2503770739065;2541;121;18.2503770739065;5284;128;19.3061840120664
Dafny;1013;22729;236;23.2971372161895;22388;244;24.0868706811451;45117;252;24.8766041461007
Dapper;570;6519;144;25.2631578947368;6830;151;26.4912280701754;13349;155;27.1929824561403
Dnn;1835;5000;258;14.0599455040872;5243;271;14.7683923705722;10243;281;15.3133514986376
Docfx;627;1701;94;14.9920255183413;1983;99;15.7894736842105;3684;103;16.4274322169059
DotNetOpenAuth;1263;1504;110;8.70942201108472;1227;109;8.63024544734759;2731;120;9.50118764845606
Duality;926;3663;160;17.2786177105832;3495;165;17.8185745140389;7158;177;19.1144708423326
ElasticsearchNet;1467;3669;146;9.95228357191547;3894;153;10.4294478527607;7563;161;10.974778459441
Emby;4009;5140;344;8.58069343976054;5417;335;8.35619855325518;10557;368;9.17934647044151
Ef7;723;6394;127;17.5656984785616;7224;125;17.2890733056708;13618;136;18.8105117565698
FakeItEasy;518;1074;58;11.1969111969112;1414;50;9.65250965250965;2488;60;11.5830115830116
FileHelpers;281;571;18;6.40569395017794;578;22;7.82918149466192;1149;22;7.82918149466192
ForcecomToolkitForNET;173;185;15;8.67052023121387;164;17;9.82658959537572;349;19;10.9826589595376
HadoopSdk;0;0;0;0;0;0;0;0;0;0
Hangfire;776;1477;70;9.02061855670103;1427;73;9.40721649484536;2904;75;9.66494845360825
HDT;1379;2475;118;8.55692530819434;2526;123;8.91950688905004;5001;128;9.28208846990573
Humanizer;364;504;26;7.14285714285714;432;20;5.49450549450549;936;28;7.69230769230769
IdentityManager;53;74;6;11.3207547169811;67;6;11.3207547169811;141;6;11.3207547169811
IdentityServer3;794;2271;73;9.19395465994962;2195;80;10.0755667506297;4466;85;10.7052896725441
ILSpy;1188;5693;213;17.9292929292929;5285;234;19.6969696969697;10978;243;20.4545454545455
ImageProcessor;415;4139;83;20;3783;85;20.4819277108434;7922;85;20.4819277108434
Katana;498;3328;43;8.63453815261044;3534;42;8.43373493975904;6862;47;9.43775100401606
KestrelHttpServer;595;3917;120;20.1680672268908;4797;120;20.1680672268908;8714;126;21.1764705882353
Kudu;957;863;66;6.89655172413793;1025;69;7.21003134796238;1888;74;7.7324973876698
Libgit2sharp;830;1851;74;8.91566265060241;2427;77;9.27710843373494;4278;83;10
MahAppsMetro;1410;2741;189;13.4042553191489;2634;192;13.6170212765957;5375;202;14.3262411347518
MailKit;560;1900;59;10.5357142857143;2397;59;10.5357142857143;4297;63;11.25
Marten;621;1522;48;7.72946859903382;2489;47;7.56843800322061;4011;54;8.69565217391304
MimeKit;882;2016;99;11.2244897959184;2268;106;12.0181405895692;4284;111;12.5850340136054
MobileCenterSdkDotnet;296;298;15;5.06756756756757;202;14;4.72972972972973;500;15;5.06756756756757
MoneyFox;1015;1087;72;7.0935960591133;1152;72;7.0935960591133;2239;83;8.17733990147783
mono;26240;68603;2941;11.2080792682927;70618;3111;11.8559451219512;139221;3297;12.5647865853659
MonoGame;3628;7702;447;12.3208379272326;7412;442;12.1830209481808;15114;483;13.3131201764057
Msbuild;466;7551;74;15.8798283261803;8103;79;16.9527896995708;15654;81;17.381974248927
MvvmCross;1113;2180;122;10.9613656783468;2973;122;10.9613656783468;5153;133;11.9496855345912
Nancy;1747;3893;151;8.64338866628506;4480;152;8.70062965082999;8373;166;9.50200343445907
NetmfInterpreter;50;12;4;8;16;4;8;28;5;10
NewtonsoftJson;471;520;23;4.88322717622081;608;25;5.30785562632696;1128;26;5.52016985138004
NhibernateCore;2033;3808;166;8.16527299557304;4734;178;8.75553369404821;8542;188;9.24741760944417
NLog;1322;3850;198;14.9773071104387;3647;213;16.1119515885023;7497;223;16.8683812405446
Nodejstools;717;1990;95;13.2496513249651;1886;99;13.8075313807531;3876;103;14.3654114365411
Npgsql;1053;3462;147;13.960113960114;3251;146;13.8651471984805;6713;158;15.0047483380817
NuGetClient;1273;4289;180;14.13982717989;3443;179;14.0612725844462;7732;189;14.8468185388845
NuGetGallery;1051;6887;103;9.80019029495718;6694;102;9.70504281636537;13581;112;10.6565176022835
OpenRA;3676;7737;417;11.3438520130577;9169;430;11.6974972796518;16906;465;12.6496191512514
OpenXmlSdk;21;219;5;23.8095238095238;226;5;23.8095238095238;445;6;28.5714285714286
OptiKey;466;834;37;7.93991416309013;769;38;8.15450643776824;1603;43;9.2274678111588
Orchard;3058;9794;359;11.7396991497711;10622;366;11.9686069326357;20416;390;12.753433616743
Orleans;616;1248;84;13.6363636363636;1256;83;13.474025974026;2504;88;14.2857142857143
Pickles;419;513;26;6.20525059665871;487;29;6.92124105011933;1000;30;7.15990453460621
PnPPowerShell;316;2078;32;10.126582278481;2313;36;11.3924050632911;4391;38;12.0253164556962
Polly;91;381;12;13.1868131868132;314;14;15.3846153846154;695;14;15.3846153846154
PowerShell;434;1946;68;15.668202764977;1322;74;17.0506912442396;3268;79;18.2027649769585
Prism;242;112;11;4.54545454545455;134;12;4.95867768595041;246;13;5.37190082644628
Protobuild;123;1068;19;15.4471544715447;1067;20;16.260162601626;2135;22;17.8861788617886
PTVS;983;2083;148;15.0559511698881;2283;152;15.4628687690743;4366;159;16.1749745676501
QuickGraph;240;434;26;10.8333333333333;425;30;12.5;859;30;12.5
Rebus;762;1826;106;13.9107611548556;1942;112;14.6981627296588;3768;119;15.6167979002625
Roslyn;4867;20040;754;15.4920895829053;21539;750;15.4099034312718;41579;820;16.8481610848572
RTVS;1475;3578;208;14.1016949152542;3624;213;14.4406779661017;7202;227;15.3898305084746
Rubberduck;2274;27041;305;13.4124890061566;26065;307;13.5004397537379;53106;331;14.5558487247142
RxNET;149;2018;30;20.1342281879195;1875;29;19.4630872483221;3893;30;20.1342281879195
Sdk;252;718;31;12.3015873015873;634;31;12.3015873015873;1352;34;13.4920634920635
Serilog;322;1811;46;14.2857142857143;1283;45;13.9751552795031;3094;48;14.9068322981366
ServiceStack;2305;6493;265;11.4967462039046;6893;284;12.3210412147505;13386;296;12.8416485900217
ShareX;1195;1851;115;9.6234309623431;1439;118;9.8744769874477;3290;124;10.3765690376569
SignalR;1351;2345;163;12.0651369356033;2407;171;12.6572908956329;4752;186;13.7675795706884
Sonarr;1792;8195;133;7.421875;8390;141;7.86830357142857;16585;150;8.37053571428571
SparkleShare;1790;5392;214;11.9553072625698;5603;217;12.122905027933;10995;240;13.4078212290503
SpecFlow;711;1389;104;14.6272855133615;1339;106;14.9085794655415;2728;117;16.4556962025316
Templating;187;436;18;9.62566844919786;590;21;11.2299465240642;1026;21;11.2299465240642
UmbracoCms;3773;10297;456;12.0858733103631;11154;464;12.2979061754572;21451;491;13.0135170951497
UWPCommunityToolkit;748;1377;99;13.2352941176471;1427;105;14.0374331550802;2804;108;14.4385026737968
VsMef;776;1952;100;12.8865979381443;1917;103;13.2731958762887;3869;114;14.6907216494845
VstsAgent;344;1182;44;12.7906976744186;965;51;14.8255813953488;2147;53;15.406976744186
VsVim;1201;4846;110;9.15903413821815;4934;113;9.40882597835137;9780;125;10.4079933388843
Wcf;205;1725;30;14.6341463414634;754;30;14.6341463414634;2479;31;15.1219512195122
WealthEconomy;170;63;5;2.94117647058824;45;4;2.35294117647059;108;5;2.94117647058824
Wox;418;1456;61;14.5933014354067;1467;57;13.6363636363636;2923;64;15.311004784689
Wyam;394;1122;53;13.4517766497462;1718;58;14.7208121827411;2840;63;15.989847715736
XamarinAuth;81;138;8;9.87654320987654;136;9;11.1111111111111;274;10;12.3456790123457
XamarinMobile;329;619;34;10.3343465045593;787;38;11.5501519756839;1406;39;11.854103343465
XUnit;224;327;23;10.2678571428571;305;22;9.82142857142857;632;24;10.7142857142857
